StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,"Consent ","Age ","Gender ",OMSI,"Prolific ID ",U_1,U_2,U_3,U_4,U_5,U_6,U_7,U_8,U_9,U_10,U_11,U_12,U_13,U_14,U_15,U_16,U_17,U_18,U_19,U_20,U_21,"U_Rel ",P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_Rel,Music check,PROLIFIC_PID
2025-09-02 05:06:42,2025-09-02 05:08:50,0,87.74.74.64,100,128,1,2025-09-02 05:08:51,R_8Qr6tAKjvJwOR2N,,,,,51.5096,-0.2942,anonymous,EN,2,29,2,3,5eff5f05b92981000a2aed73,5,4,4,4,3,4,4,3,4,4,4,4,4,3,4,4,3,4,4,4,1,2,4,4,4,5,3,4,4,4,4,4,5,5,3,5,4,4,3,4,4,4,3,2,5eff5f05b92981000a2aed73
2025-09-02 05:06:39,2025-09-02 05:08:52,0,82.30.27.160,100,132,1,2025-09-02 05:08:52,R_8It65HULtJyVlqn,,,,,53.8318,-1.5358,anonymous,EN,2,35,2,2,6414214e827ce5e66769d4a1,5,4,5,3,4,5,4,4,4,3,4,4,4,4,4,5,5,3,5,5,1,4,4,4,4,5,5,3,5,5,5,5,5,4,5,4,4,5,4,5,5,4,3,2,6414214e827ce5e66769d4a1
2025-09-02 05:06:37,2025-09-02 05:09:40,0,82.16.173.78,100,182,1,2025-09-02 05:09:41,R_8TzUQ8FAuHIqkSD,,,,,51.521,-3.2037,anonymous,EN,2,35,2,3,5f0ef9c9ff62e3018320db31,4,5,5,2,5,5,4,4,3,3,2,4,2,2,2,4,3,3,4,4,1,4,3,4,4,4,4,4,4,4,4,3,2,2,2,2,4,4,2,4,3,2,3,2,5f0ef9c9ff62e3018320db31
2025-09-02 05:08:25,2025-09-02 05:09:41,0,80.0.193.95,100,76,1,2025-09-02 05:09:42,R_2QotSIlddn0nnut,,,,,53.1917,-0.6731,anonymous,EN,2,33,1,2,60b3950b9a1de417d37bb8d2,4,3,3,3,3,4,4,3,4,3,4,3,3,3,4,4,4,3,4,4,3,3,3,4,4,2,4,4,3,4,3,4,3,4,4,4,3,4,4,4,4,4,2,1,60b3950b9a1de417d37bb8d2
2025-09-02 05:07:27,2025-09-02 05:10:03,0,31.125.2.69,100,155,1,2025-09-02 05:10:03,R_8EnqyeHe4QdMYbD,,,,,51.7822,-1.4851,anonymous,EN,2,51,1,4,66685b8a31b015ff1167348f,4,4,5,4,4,5,4,4,5,4,4,4,4,4,4,5,4,5,5,4,1,3,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,66685b8a31b015ff1167348f
2025-09-02 05:06:51,2025-09-02 05:10:19,0,83.104.73.150,100,207,1,2025-09-02 05:10:19,R_2dhg44UxJX21YMU,,,,,51.4626,-0.2059,anonymous,EN,2,32,2,1,67613ac23d6f56d779ebef6b,3,4,4,2,3,3,2,3,4,3,2,2,2,2,2,2,2,3,3,2,1,1,2,4,5,3,2,3,3,4,3,3,3,2,3,4,3,3,3,3,3,2,2,2,67613ac23d6f56d779ebef6b
2025-09-02 05:06:49,2025-09-02 05:10:23,0,86.163.43.170,100,213,1,2025-09-02 05:10:23,R_2n2SIfzhzYWUSi9,,,,,51.9417,-0.2845,anonymous,EN,2,50,2,3,665834040679fe2bd2dfed71,4,4,4,2,2,4,3,4,2,4,4,3,4,4,4,5,4,2,3,2,1,3,3,4,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,2,665834040679fe2bd2dfed71
2025-09-02 05:06:45,2025-09-02 05:10:42,0,148.252.128.209,100,237,1,2025-09-02 05:10:43,R_8Buylxly2GN7HIB,,,,,51.4964,-0.1224,anonymous,EN,2,28,1,2,612d4269137ff0bcf765ba63,5,3,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,4,1,2,4,5,4,4,5,5,4,4,4,4,4,3,4,3,4,3,3,4,4,3,3,2,612d4269137ff0bcf765ba63
2025-09-02 05:08:04,2025-09-02 05:11:16,0,86.138.0.2,100,192,1,2025-09-02 05:11:17,R_8mGU3nQvdLe3J0R,,,,,52.0362,-0.7006,anonymous,EN,2,60,1,3,65dcb1277d4c8c0b58de2db7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,65dcb1277d4c8c0b58de2db7
2025-09-02 05:08:30,2025-09-02 05:11:32,0,31.94.30.223,100,181,1,2025-09-02 05:11:32,R_8lz30PJkAuutBjk,,,,,53.5197,-2.2109,anonymous,EN,2,46,2,3,6071933c3c4ea940e3e2f175,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,6071933c3c4ea940e3e2f175
